BAKIN　サンプルゲーム	BAKIN Sample Game
\NPR[ルナ]\lipspd[0.6]いきなりナンなのよ！	\NPR[Luna]\lipspd[0.6]What is wrong with you!?
\NPL[エリザベータ]\lipspd[0.6]悪いけど、これも私の仕事なんでね！	\NPL[Elisabeta]\lipspd[0.6]Sorry, but it's my job!
\NPL[エリザベータ]\lipspd[0.6]行くよ！	\NPL[Elisabeta]\lipspd[0.6]Here we go!
\NPL[ベムス]ホッホッホッなかなかやりますね\!\nでは、本気を出しますかね。	\NPL[Bemus]Hohoho, that's pretty good.\!\nI think I'm going to get serious now.
\NPL[エリザベータ]\lipspd[0.6]なんだと!?	\NPL[Elisabeta]\lipspd[0.6]What the...?
\NPL[ベムス]ホッホッホッ、\wさぁ絶望なさい！	\NPL[Bemus]Hohoho, \wnow despair!
ケン…　\w[3]\n聞こえますか、ケン……	Ken... \w[3]\nCan you hear me, Ken ......
よかった…\n私の声が届いたようですね、\wケン……	Good...\nI guess my voice has been heard...\wKen ......
私の名はトライア…\nこの世の調和を護る精霊たちの女王	My name is Tria and I am the Queen of the Spirits, \nthe guardian of harmony in this world.
今、邪竜タマズサの手により\n私たちの力の源「精霊の宝珠」が危機にさらされています	Now, the source of our power, the Spirit Orbs, are in danger at the hands of the evil dragon Tamazusa!
宝珠の子ケンよ\n\n\n古からの宿命に従い\nあなたは旅立たねばなりません…	Ken... A child of the Spirit Orbs...\n\n\nIn accordance with the ancient fate, you must depart.
悪の手より精霊の宝珠を護るのです…\w[2]\n頼みましたよ…ケン…	You must protect the Spirit Orbs from the hands of evil...\w[2]\n\nI'm counting on you... Ken...
ケンの家	Ken's House
ちょっと！私の話聞いてる？\w[3]\n	Hey! Hey! Are you listening to me?\w[3]\n
\NPL[イザベラ]急にボーッとしちゃって…具合でも悪いの？	\NPL[Isabella]Why are you so spaced out all of a sudden, are you sick?
\NPL[イザベラ]え？　精霊女王と話をしていた？\nいつまで寝ぼけているのよ…\n\n準備ができたらすぐ来るように、サイラス先生が言ってたわよ。\n\n早く行きなさい！	\NPL[Isabella]What?  Have you been talking to the Spirit Queen?\nAre you still sleeping? ...\n\nMr. Cyrus said to come as soon as you're ready.\n\nGo now!
ネイテイ村	Neitei Village
\NPL[イザベラ]おつとめ頑張ってね。	\NPL[Isabella]Do your best for the service.
\NPL[イザベラ]村の外に出るときは気をつけるんだよ。	\NPL[Isabella]Be careful when you go out of the village.
これが精霊の剣か…\n不思議な力を感じる…\n\n…剣に手を伸ばした！	So this is the Spirit Sword... Sense of mysterious power...\n\n... Reaching for the sword!
